N,P,K,temperature,humidity,ph,rainfall,label
39.3,59.9,24.1,28.35,69.52,7.03,72.63,blackgram
40.9,57.6,18.8,25.99,66.23,6.95,75.56,blackgram
34.4,58.3,19.1,34.27,67.1,6.92,70.35,blackgram
31.7,74.7,21.7,27.85,65.86,6.61,79.32,blackgram
33.5,68.0,17.5,32.18,67.77,7.17,72.29,blackgram
47.8,56.6,18.3,27.48,69.88,6.89,74.65,blackgram
43.7,59.2,17.4,27.81,64.11,6.73,60.39,blackgram
47.6,74.3,18.4,28.39,60.07,7.18,76.51,blackgram
32.9,58.2,22.9,31.16,60.45,7.12,66.18,blackgram
37.4,70.4,23.1,29.0,69.47,6.91,75.44,blackgram
39.7,73.0,24.1,25.87,69.36,7.33,75.83,blackgram
34.0,71.1,23.5,27.89,69.52,6.55,63.0,blackgram
40.8,66.5,21.5,25.17,69.6,6.54,62.86,blackgram
30.3,66.3,24.3,31.66,68.23,6.51,70.84,blackgram
39.2,65.0,15.7,31.84,65.03,7.27,69.71,blackgram
33.0,68.0,16.7,33.72,66.13,6.66,79.25,blackgram
40.4,56.5,21.3,27.53,68.04,7.32,79.58,blackgram
40.0,64.1,22.5,26.32,65.47,7.05,61.79,blackgram
38.4,72.1,23.6,25.99,60.91,6.76,77.5,blackgram
32.6,69.4,16.0,31.23,63.56,7.29,64.67,blackgram
42.8,59.7,22.1,33.74,61.27,7.37,71.87,blackgram
32.5,63.6,16.6,32.0,67.59,6.61,70.12,blackgram
46.3,73.7,20.1,34.5,65.36,6.89,76.96,blackgram
39.9,64.4,19.9,33.47,68.32,6.9,66.67,blackgram
39.8,66.5,17.4,32.94,64.86,6.83,62.14,blackgram
34.8,74.0,18.1,26.69,64.61,6.81,60.7,blackgram
36.5,65.9,20.5,28.57,64.47,7.47,67.55,blackgram
35.2,59.9,19.6,32.6,62.06,7.21,60.42,blackgram
38.4,70.5,18.4,30.64,62.05,7.24,61.05,blackgram
47.1,59.0,23.7,28.53,67.23,6.82,78.12,blackgram
32.5,58.6,19.9,25.82,61.96,7.44,79.53,blackgram
37.5,73.5,20.4,27.7,67.02,7.16,79.78,blackgram
35.3,68.4,15.5,26.14,60.04,7.5,76.05,blackgram
45.7,65.2,18.0,26.51,62.85,6.88,75.13,blackgram
40.8,56.5,15.2,26.02,64.1,7.43,72.75,blackgram
46.0,64.3,18.6,26.08,68.76,7.28,63.36,blackgram
40.2,64.7,21.3,34.46,65.8,7.04,61.01,blackgram
31.3,58.7,15.3,32.43,67.23,6.64,76.72,blackgram
33.1,61.0,17.5,28.72,62.55,6.99,68.15,blackgram
49.7,56.1,16.4,25.53,66.26,6.55,76.73,blackgram
40.2,65.5,20.6,26.71,61.98,6.82,71.87,blackgram
34.2,57.3,24.7,25.22,68.03,7.29,65.94,blackgram
32.7,57.9,22.0,31.43,67.83,7.44,73.84,blackgram
33.1,59.9,23.4,27.09,60.73,7.2,68.05,blackgram
48.4,68.0,15.9,34.48,62.59,6.84,68.05,blackgram
31.0,64.9,16.2,29.01,63.51,7.27,76.06,blackgram
33.1,62.3,18.7,26.51,67.98,7.21,63.81,blackgram
37.3,57.1,21.3,26.21,69.86,7.28,67.8,blackgram
41.6,73.2,20.5,26.74,63.79,7.34,72.88,blackgram
43.0,72.3,23.9,34.2,60.95,7.04,74.81,blackgram
45.1,67.1,16.7,32.97,67.2,6.59,69.28,blackgram
33.5,61.7,15.2,29.0,65.5,7.12,73.27,blackgram
46.7,59.3,16.2,33.52,61.57,7.47,76.85,blackgram
40.0,74.6,16.0,28.03,66.38,6.85,78.57,blackgram
31.3,66.0,20.9,31.53,62.56,6.86,76.87,blackgram
33.9,71.5,20.6,32.62,67.14,6.71,71.38,blackgram
47.4,63.6,24.7,29.52,61.43,6.89,79.03,blackgram
36.4,72.4,23.8,28.5,60.83,7.22,66.23,blackgram
30.7,63.9,19.9,27.33,63.82,6.44,42.52,lentil
22.3,65.5,23.1,22.34,65.24,6.67,40.39,lentil
20.6,73.7,22.2,24.93,66.48,6.03,47.36,lentil
25.2,65.9,18.6,18.98,61.93,6.95,43.17,lentil
24.3,56.1,15.4,26.61,65.38,6.51,39.86,lentil
29.9,58.4,16.9,23.53,62.86,6.25,47.9,lentil
28.0,71.5,19.2,18.88,62.74,6.98,46.93,lentil
29.2,55.1,20.2,18.45,65.69,6.92,54.37,lentil
25.8,64.2,24.5,26.08,60.65,6.47,39.8,lentil
24.4,64.1,20.8,22.28,61.64,6.5,51.6,lentil
28.3,61.8,24.4,28.95,62.09,6.04,49.83,lentil
31.6,74.4,23.9,25.21,65.3,6.03,39.93,lentil
24.2,67.6,20.6,26.91,62.8,6.56,36.76,lentil
23.3,70.0,21.9,29.89,62.78,6.5,41.59,lentil
23.8,72.1,21.8,28.59,62.04,6.87,36.2,lentil
32.8,61.6,18.1,24.15,69.41,6.05,42.04,lentil
32.1,62.9,17.0,23.1,63.86,6.92,50.24,lentil
25.1,74.8,19.7,18.7,62.62,6.44,38.14,lentil
34.0,70.3,17.7,25.09,67.21,6.94,52.63,lentil
25.3,70.5,20.6,24.63,61.15,6.13,45.59,lentil
20.4,55.4,22.2,18.39,65.95,6.54,54.38,lentil
24.7,56.3,20.5,28.09,69.97,6.43,41.41,lentil
33.1,58.8,21.2,22.87,60.41,6.35,40.3,lentil
28.7,74.0,17.7,27.74,60.55,6.54,36.41,lentil
33.7,70.3,21.6,27.89,66.48,6.97,49.28,lentil
33.5,65.3,16.2,24.34,61.27,6.59,44.65,lentil
27.5,55.2,16.9,23.9,69.51,6.38,43.49,lentil
29.3,67.1,18.0,22.93,62.18,6.97,37.61,lentil
22.4,55.5,17.2,27.37,62.01,6.08,44.49,lentil
15.2,56.7,23.1,27.26,69.15,6.85,48.66,lentil
16.0,70.7,23.5,27.59,65.08,6.23,51.91,lentil
29.5,74.6,16.6,20.71,62.12,6.79,38.74,lentil
16.3,75.0,15.2,28.02,63.65,6.84,46.09,lentil
33.0,73.5,15.1,18.9,62.5,6.67,52.77,lentil
24.2,67.1,16.9,27.66,69.67,6.27,44.9,lentil
16.7,66.2,20.0,19.73,64.42,6.33,45.44,lentil
26.7,55.2,22.6,26.56,63.66,6.05,50.1,lentil
34.1,59.8,18.2,20.21,65.77,6.15,42.12,lentil
28.9,66.2,18.9,23.04,65.62,6.01,36.57,lentil
32.6,56.6,22.1,29.04,62.71,6.37,46.38,lentil
32.6,73.8,22.4,19.04,66.69,6.41,44.41,lentil
16.0,58.8,22.9,23.45,63.02,6.38,52.09,lentil
30.0,60.4,16.2,21.02,69.21,6.58,45.67,lentil
26.9,62.3,23.1,24.28,61.17,6.13,45.74,lentil
33.7,61.2,23.7,27.17,62.48,6.04,37.04,lentil
29.6,59.0,18.7,24.02,67.25,6.11,43.13,lentil
24.7,65.8,23.2,20.06,68.08,6.69,46.12,lentil
29.0,63.2,16.4,25.99,65.25,6.64,41.76,lentil
33.1,66.7,15.9,23.4,67.56,6.79,44.89,lentil
32.9,60.4,19.1,28.78,68.96,6.69,52.18,lentil
16.8,72.3,18.2,20.14,62.39,6.42,40.02,lentil
21.4,57.7,18.0,24.87,64.42,6.35,49.93,lentil
32.9,70.1,18.3,26.93,61.52,6.13,41.91,lentil
31.2,59.9,15.6,19.58,68.59,6.63,40.06,lentil
26.1,65.6,21.6,20.8,68.64,6.31,48.88,lentil
15.3,62.5,18.5,24.52,60.73,6.79,39.36,lentil
28.5,71.1,20.6,26.89,66.62,6.36,51.18,lentil
20.9,66.4,22.5,22.55,63.03,6.46,51.36,lentil
33.6,65.9,21.6,28.84,60.99,6.23,49.18,lentil
31.5,72.1,19.2,19.07,64.38,6.23,40.82,lentil
30.4,56.5,23.3,23.13,65.96,6.09,41.75,lentil
16.8,74.2,23.1,23.52,62.24,6.93,41.89,lentil
18.2,66.3,24.4,18.05,62.38,6.94,38.42,lentil
17.3,66.4,23.6,23.73,69.95,6.68,36.48,lentil
34.9,63.2,17.9,24.69,63.04,6.09,35.03,lentil
24.0,71.7,20.7,29.99,62.87,6.28,38.19,lentil
18.3,60.7,22.9,28.87,69.75,6.23,52.63,lentil
21.6,57.3,23.7,25.63,61.65,6.43,40.75,lentil
29.7,64.1,24.9,18.66,63.55,6.48,45.06,lentil
21.3,69.6,23.7,29.26,68.05,6.85,46.01,lentil
31.5,61.1,19.0,21.8,64.67,6.29,54.23,lentil
21.3,57.0,20.3,18.69,61.11,6.22,44.29,lentil
23.7,71.0,22.4,23.12,63.34,6.32,50.48,lentil
16.0,55.3,23.0,23.73,61.31,6.24,53.65,lentil
32.2,69.2,19.8,24.24,69.75,6.97,39.31,lentil
31.2,58.9,17.1,26.11,64.05,6.93,36.78,lentil
25.2,73.4,24.0,19.88,63.67,6.62,38.19,lentil
34.4,73.3,16.7,19.45,60.85,6.91,38.87,lentil
23.3,64.0,21.0,18.86,62.27,6.93,53.17,lentil
30.6,55.4,18.3,25.54,62.75,6.91,47.68,lentil
16.4,73.2,24.6,18.93,65.32,6.3,42.86,lentil
18.6,66.6,24.6,24.04,60.83,6.62,41.8,lentil
32.1,63.7,16.9,20.29,67.69,6.27,50.34,lentil
19.1,61.4,19.7,29.32,69.32,6.21,42.16,lentil
18.0,65.2,19.6,28.81,69.3,6.38,44.83,lentil
32.9,71.1,15.0,21.84,64.22,6.23,38.99,lentil
15.8,67.9,17.6,18.63,62.31,6.8,52.03,lentil
24.7,63.3,24.8,20.41,62.15,6.29,38.46,lentil
22.6,73.2,21.2,22.94,69.34,6.05,39.21,lentil
26.3,67.3,15.4,22.84,66.49,6.7,47.76,lentil
21.4,56.9,19.3,19.55,69.48,6.48,41.35,lentil
30.3,65.0,18.1,27.74,68.67,6.67,35.94,lentil
26.3,70.3,16.4,20.74,68.82,6.02,50.05,lentil
24.5,63.9,15.1,27.83,63.6,6.54,48.55,lentil
29.1,74.1,20.3,22.8,69.54,6.64,40.96,lentil
17.5,71.9,18.6,25.93,64.71,6.2,47.03,lentil
16.2,63.3,20.5,23.23,67.49,6.83,50.42,lentil
15.8,58.9,20.4,29.22,68.35,6.84,41.06,lentil
23.6,64.4,16.6,18.37,69.47,6.24,39.8,lentil
16.7,73.6,20.8,26.0,69.12,6.35,47.43,lentil
15.8,13.7,43.3,23.37,88.51,6.14,108.0,pomegranate
15.0,14.8,37.1,19.75,93.06,5.98,102.87,pomegranate
25.1,27.3,37.4,18.55,88.56,6.77,108.26,pomegranate
31.3,29.2,42.9,22.23,89.93,5.57,114.76,pomegranate
22.7,13.0,41.7,19.99,90.86,6.5,106.69,pomegranate
31.7,15.3,39.5,21.76,91.64,6.83,105.92,pomegranate
27.9,13.0,44.3,20.68,92.3,5.53,103.08,pomegranate
24.7,27.6,40.3,24.51,89.84,6.33,101.8,pomegranate
31.1,14.9,44.0,24.38,94.43,6.38,110.16,pomegranate
30.6,12.6,41.0,18.24,89.98,5.76,102.74,pomegranate
22.3,18.6,41.2,18.52,90.04,5.81,108.61,pomegranate
27.7,21.1,42.4,20.35,92.65,6.24,107.26,pomegranate
28.0,10.4,41.5,22.33,88.1,5.65,101.36,pomegranate
33.5,23.8,36.3,20.5,90.92,6.92,100.65,pomegranate
19.7,27.8,35.1,19.41,94.59,6.54,103.93,pomegranate
16.3,10.6,37.4,24.17,89.16,6.72,113.77,pomegranate
23.2,13.8,40.2,24.36,93.04,5.61,110.39,pomegranate
26.4,28.1,36.2,21.74,93.79,6.2,107.23,pomegranate
16.4,15.6,38.2,24.62,87.83,6.28,110.07,pomegranate
18.2,19.7,42.4,24.07,91.26,6.64,101.89,pomegranate
33.9,12.7,42.7,19.85,94.34,6.72,111.31,pomegranate
19.4,18.9,41.2,23.39,86.04,7.14,113.35,pomegranate
20.4,26.5,40.2,21.23,88.14,6.49,110.95,pomegranate
23.2,22.6,42.0,22.98,85.52,6.96,106.87,pomegranate
20.2,14.8,39.8,24.21,88.78,6.77,101.45,pomegranate
24.5,29.8,42.7,19.47,90.01,5.9,106.14,pomegranate
30.6,25.4,37.3,24.46,90.93,6.15,107.53,pomegranate
27.1,21.2,39.9,21.53,86.76,6.88,108.13,pomegranate
17.6,25.3,44.3,24.63,88.69,5.73,107.78,pomegranate
17.3,28.7,36.8,19.77,89.07,6.15,111.92,pomegranate
24.1,13.4,37.7,21.56,86.47,6.54,108.49,pomegranate
29.3,28.8,44.1,24.62,87.45,5.72,104.53,pomegranate
32.9,29.4,43.6,18.77,94.47,6.22,100.14,pomegranate
23.8,10.9,40.4,20.37,89.73,6.54,113.03,pomegranate
28.2,18.7,43.2,24.34,86.2,6.4,104.27,pomegranate
15.9,23.4,43.6,19.14,93.12,6.95,113.72,pomegranate
20.3,28.1,38.2,21.87,85.51,5.57,110.81,pomegranate
23.9,15.1,36.9,22.69,85.0,6.87,101.19,pomegranate
18.8,17.7,39.8,20.48,88.21,7.14,109.62,pomegranate
15.5,18.6,43.8,20.11,85.95,6.79,109.09,pomegranate
26.4,11.1,36.4,22.36,87.08,6.36,108.17,pomegranate
20.7,29.0,43.4,23.06,85.78,5.68,107.39,pomegranate
18.2,29.6,36.6,21.41,88.64,6.59,101.94,pomegranate
23.6,15.5,43.9,18.28,94.14,6.92,104.46,pomegranate
30.8,10.6,44.7,21.69,88.03,6.12,101.0,pomegranate
34.8,10.8,41.5,21.1,94.49,5.92,107.98,pomegranate
24.6,24.1,35.7,19.36,87.15,6.75,102.84,pomegranate
26.5,14.3,43.6,24.6,90.18,6.1,103.51,pomegranate
16.0,15.4,41.5,21.74,94.44,6.17,110.41,pomegranate
24.8,20.3,37.7,21.18,89.71,6.7,114.11,pomegranate
21.6,10.8,40.0,21.81,86.68,6.79,114.77,pomegranate
33.9,13.9,43.8,22.93,89.54,6.42,112.74,pomegranate
24.6,17.5,39.9,22.05,86.89,7.03,110.11,pomegranate
27.7,12.0,41.0,18.85,85.79,6.4,106.04,pomegranate
26.8,11.8,39.3,19.22,94.87,6.45,110.31,pomegranate
21.5,11.9,44.8,20.0,89.24,6.6,100.37,pomegranate
31.2,20.7,37.8,18.43,86.62,7.02,110.29,pomegranate
20.0,11.3,41.9,22.01,89.05,6.12,103.25,pomegranate
28.4,29.4,36.8,22.18,89.24,6.26,103.81,pomegranate
31.5,19.7,40.4,20.13,86.82,5.65,110.71,pomegranate
18.9,23.8,38.9,20.91,89.69,6.13,101.51,pomegranate
21.2,23.3,41.7,20.0,89.6,5.83,103.16,pomegranate
15.5,27.9,37.1,19.59,87.8,5.72,109.59,pomegranate
16.5,12.7,41.4,20.38,92.08,6.45,103.84,pomegranate
28.0,12.3,40.4,21.06,87.68,6.53,113.07,pomegranate
35.0,22.2,39.0,19.58,87.57,6.32,105.51,pomegranate
33.3,17.4,38.7,20.68,93.37,6.61,109.21,pomegranate
21.7,26.4,35.4,24.1,90.13,6.18,107.46,pomegranate
28.3,10.3,43.7,21.13,88.43,5.74,106.59,pomegranate
24.9,18.1,41.8,20.95,94.61,6.52,112.11,pomegranate
17.2,17.9,38.4,21.99,93.61,5.63,101.09,pomegranate
32.0,14.3,41.7,21.8,93.33,5.71,101.95,pomegranate
26.1,28.9,39.1,20.29,91.07,7.08,112.55,pomegranate
34.9,10.5,36.1,22.27,93.21,5.98,103.59,pomegranate
30.7,11.1,38.7,21.54,90.6,6.74,105.32,pomegranate
27.3,21.7,40.5,22.48,87.59,5.64,101.79,pomegranate
19.5,20.0,43.4,22.91,92.89,6.1,106.07,pomegranate
22.9,13.8,35.6,22.14,94.89,5.78,100.7,pomegranate
30.6,15.1,43.3,22.93,94.46,6.2,109.93,pomegranate
24.3,22.6,39.5,19.32,90.08,6.4,112.16,pomegranate
29.7,23.3,36.1,23.04,90.0,7.02,113.8,pomegranate
16.1,26.4,35.4,20.57,90.42,5.75,111.19,pomegranate
15.2,13.4,40.8,23.0,94.17,6.7,110.08,pomegranate
22.9,10.0,36.2,21.74,91.75,6.21,110.96,pomegranate
25.4,11.5,36.9,23.88,92.25,7.02,101.76,pomegranate
34.8,14.2,35.1,24.98,87.81,6.64,102.65,pomegranate
26.6,28.1,38.2,22.69,86.88,6.56,105.05,pomegranate
19.2,16.3,36.8,24.31,88.97,5.92,106.73,pomegranate
21.4,24.9,44.7,21.07,93.61,6.46,102.36,pomegranate
28.8,20.3,41.5,24.23,89.4,7.03,111.26,pomegranate
24.8,22.1,38.3,24.89,91.67,5.57,104.9,pomegranate
27.5,11.1,35.2,21.15,88.33,6.25,103.94,pomegranate
18.3,23.8,40.1,19.4,88.2,6.51,101.08,pomegranate
17.9,11.5,43.1,23.27,92.53,6.72,110.04,pomegranate
24.5,22.8,35.4,22.35,92.78,6.35,105.36,pomegranate
20.5,22.9,41.9,24.1,88.42,6.81,108.42,pomegranate
32.7,20.6,40.2,22.05,92.49,7.14,101.1,pomegranate
16.1,28.8,40.3,22.3,89.82,5.66,111.52,pomegranate
29.9,16.2,38.1,23.86,85.72,7.0,103.85,pomegranate
26.9,28.7,41.8,20.9,91.9,6.08,104.16,pomegranate
114.9,88.8,51.4,26.78,75.49,5.53,106.63,banana
109.1,83.4,53.4,25.17,78.67,5.74,103.42,banana
91.8,93.9,47.2,29.61,79.26,6.49,106.62,banana
113.3,70.1,52.5,29.52,76.4,5.6,102.74,banana
113.3,83.6,50.3,25.71,75.01,6.31,92.63,banana
105.8,92.9,47.1,28.33,75.79,6.1,94.92,banana
108.4,77.5,49.6,28.0,76.71,6.24,99.08,banana
106.6,74.0,51.9,25.64,79.25,5.75,112.45,banana
96.6,92.0,53.9,25.98,81.14,5.59,101.75,banana
107.8,86.5,51.2,26.41,78.78,5.6,111.57,banana
102.6,87.7,47.5,26.62,78.34,5.53,100.23,banana
110.1,92.4,50.2,27.28,75.31,6.38,90.39,banana
113.6,82.2,48.4,29.62,75.24,6.08,106.47,banana
95.5,80.7,51.5,28.64,75.01,6.44,94.94,banana
95.8,76.6,45.4,25.62,84.86,5.82,93.46,banana
92.7,88.0,53.5,26.28,75.21,5.72,91.7,banana
92.6,80.8,47.3,27.58,77.53,6.44,117.18,banana
104.2,78.9,48.8,27.06,82.28,5.95,115.7,banana
113.6,78.4,50.6,25.48,77.0,5.91,96.19,banana
111.9,74.0,49.6,28.03,81.92,5.88,116.07,banana
104.2,81.0,45.7,27.32,83.21,6.11,114.96,banana
102.4,73.0,45.1,26.52,81.98,6.29,98.87,banana
102.4,80.5,49.1,26.16,76.36,5.7,91.66,banana
95.0,70.2,51.3,26.58,84.73,5.69,100.37,banana
98.9,70.2,53.4,25.16,84.4,6.39,106.07,banana
103.6,86.3,48.9,28.24,75.45,5.55,103.72,banana
103.7,92.2,46.0,29.11,77.1,5.89,99.5,banana
100.0,73.8,50.0,29.01,79.42,5.99,115.46,banana
107.7,82.3,47.6,29.42,80.77,5.72,98.07,banana
110.1,71.1,54.9,25.65,82.96,5.89,104.77,banana
112.0,80.3,50.4,25.25,75.02,5.74,110.42,banana
93.0,72.8,49.1,28.24,82.12,5.68,92.39,banana
113.5,76.5,53.5,29.32,82.73,5.67,114.65,banana
109.2,84.9,48.4,26.31,76.22,6.01,107.56,banana
99.0,81.9,48.6,28.21,84.01,5.66,101.44,banana
93.5,85.6,52.3,29.66,77.79,6.45,91.9,banana
105.1,71.4,53.9,27.65,81.69,6.33,94.51,banana
91.0,92.0,48.1,25.64,79.68,6.1,90.93,banana
96.9,70.8,49.2,29.48,84.83,6.14,94.85,banana
112.6,82.9,46.5,29.61,82.57,6.23,111.28,banana
95.0,75.3,51.9,26.1,79.39,6.28,113.52,banana
101.3,89.8,53.4,28.27,77.28,5.77,99.45,banana
92.9,76.8,47.1,27.28,84.08,5.6,111.61,banana
107.2,72.4,54.2,27.84,78.64,6.26,97.72,banana
107.3,71.0,53.4,27.24,81.37,5.72,110.31,banana
109.3,81.8,51.2,27.28,83.94,6.0,115.25,banana
110.0,80.3,47.3,27.03,83.26,5.73,105.73,banana
110.2,78.8,51.4,26.23,76.09,6.29,92.97,banana
96.8,91.4,48.5,29.87,84.8,5.77,91.23,banana
107.6,81.3,46.0,28.54,75.31,6.37,94.16,banana
93.2,74.4,54.6,28.47,83.01,5.9,100.09,banana
95.9,82.0,50.5,28.16,77.57,6.45,95.09,banana
114.1,70.4,49.8,26.67,79.49,6.07,103.07,banana
100.4,88.3,51.9,29.17,77.5,6.11,107.56,banana
99.2,82.2,48.1,25.71,77.14,5.61,110.49,banana
106.5,93.8,52.3,25.26,83.84,6.36,103.3,banana
104.6,94.4,50.3,29.53,75.83,5.69,103.22,banana
104.6,90.4,54.9,26.94,75.47,6.3,108.13,banana
95.0,82.4,52.4,28.85,80.0,5.81,119.21,banana
106.6,80.2,47.8,28.66,77.42,5.67,105.9,banana
97.2,85.7,46.2,28.27,77.83,5.5,93.81,banana
113.3,91.7,47.3,28.89,81.09,6.47,101.21,banana
107.0,71.6,49.0,29.82,80.39,5.79,93.61,banana
107.6,86.1,48.7,29.75,75.22,5.8,117.63,banana
98.0,76.3,50.3,29.12,76.03,6.44,113.85,banana
94.5,87.8,48.8,27.01,82.83,6.46,93.8,banana
100.5,82.0,48.8,26.82,75.52,6.19,103.09,banana
94.9,90.4,53.0,27.43,77.98,6.14,98.64,banana
95.9,88.3,45.4,25.47,75.07,5.65,92.07,banana
114.9,77.2,46.5,26.2,84.36,6.02,100.94,banana
111.8,79.9,48.4,26.04,78.78,5.82,110.32,banana
97.2,84.4,45.7,25.96,79.07,6.44,101.32,banana
106.6,76.4,46.3,25.29,78.05,5.66,95.22,banana
109.0,70.4,50.6,26.9,80.07,6.06,99.4,banana
97.4,88.3,53.7,25.96,75.98,6.4,100.5,banana
103.8,79.0,46.3,27.95,80.25,5.7,103.56,banana
109.9,84.8,46.0,27.74,82.03,6.29,108.87,banana
93.8,87.8,51.8,25.12,79.12,5.83,110.08,banana
95.4,84.8,54.1,28.99,84.21,6.48,90.32,banana
105.6,80.3,53.6,26.26,84.81,6.11,113.81,banana
92.1,74.6,52.6,25.11,83.17,5.51,109.71,banana
99.1,85.3,52.0,26.71,76.08,5.57,107.67,banana
103.0,88.6,50.1,27.11,78.98,5.53,100.07,banana
114.4,91.8,48.3,27.94,83.47,5.94,90.54,banana
91.9,82.8,54.7,28.47,75.71,5.69,113.14,banana
111.0,85.4,51.4,25.14,83.29,6.29,97.77,banana
107.7,75.4,45.4,26.01,76.79,5.84,102.55,banana
102.7,81.9,47.7,25.15,81.05,5.9,98.96,banana
111.7,88.7,53.6,27.47,76.31,6.2,96.18,banana
101.0,71.6,53.3,25.63,84.03,6.36,103.94,banana
108.6,85.5,53.0,27.16,82.86,5.96,118.23,banana
102.2,81.6,52.9,29.11,80.54,5.68,104.03,banana
114.2,88.8,53.1,25.16,79.68,6.15,114.9,banana
91.2,91.3,50.5,25.99,78.17,5.78,105.93,banana
91.3,74.0,53.1,25.66,77.33,5.95,105.51,banana
109.1,81.2,52.9,28.09,76.13,5.66,103.11,banana
99.9,88.6,50.8,26.94,76.71,5.73,107.27,banana
100.6,82.9,46.7,28.31,83.53,5.76,104.75,banana
114.4,78.3,51.0,25.45,81.06,5.59,118.78,banana
107.9,89.7,52.0,27.95,79.5,6.36,118.71,banana
20.0,33.6,30.8,31.85,49.54,5.02,90.04,mango
14.8,25.2,28.8,31.04,54.81,5.38,94.52,mango
12.7,16.0,32.8,32.14,52.61,4.87,95.72,mango
15.1,19.6,25.1,28.17,48.09,4.79,99.86,mango
16.2,17.6,27.0,32.29,45.64,6.66,99.61,mango
14.9,24.0,25.2,32.77,49.14,5.18,92.07,mango
23.1,23.3,26.8,33.2,50.65,6.65,91.17,mango
25.7,28.5,26.2,33.25,49.42,6.86,91.42,mango
22.9,22.6,34.6,29.97,54.62,6.75,92.7,mango
26.1,34.9,27.5,30.93,50.2,5.24,90.15,mango
14.4,20.6,29.4,28.54,53.73,6.26,90.85,mango
23.0,28.1,34.6,27.03,47.48,6.82,99.32,mango
24.4,30.3,25.9,31.62,47.32,4.95,98.1,mango
12.7,24.4,34.4,28.67,54.78,6.99,95.56,mango
13.4,21.3,29.2,29.78,47.81,6.93,91.53,mango
24.7,15.0,31.0,35.24,47.88,4.96,96.52,mango
24.3,28.8,28.2,29.27,54.56,6.81,94.57,mango
26.9,24.0,29.2,28.41,49.26,5.84,90.23,mango
18.9,30.6,31.8,32.72,54.1,4.55,95.57,mango
25.7,25.8,28.2,28.23,53.88,5.68,98.78,mango
21.7,28.5,33.0,32.93,48.98,5.78,98.03,mango
17.5,22.8,26.0,35.23,45.91,6.12,94.13,mango
18.1,28.6,25.7,32.34,52.72,6.57,91.71,mango
27.9,28.1,33.8,31.37,50.42,6.8,99.0,mango
19.0,20.5,28.9,30.49,47.87,5.17,98.61,mango
11.4,28.6,26.7,30.1,45.62,5.17,97.68,mango
27.7,19.4,29.6,31.23,53.74,6.41,95.13,mango
23.4,31.9,25.1,30.63,54.07,6.35,95.43,mango
20.6,22.0,30.2,32.9,49.18,6.29,98.61,mango
13.1,24.0,29.1,33.19,47.5,6.1,98.77,mango
18.4,33.2,34.9,27.95,47.33,6.88,99.58,mango
12.0,15.3,26.6,35.96,46.8,5.76,98.48,mango
10.4,27.1,27.8,34.76,47.83,6.22,96.74,mango
14.4,15.7,29.1,29.6,53.09,6.5,94.57,mango
22.1,27.1,33.3,30.83,47.75,5.16,95.36,mango
19.0,23.8,25.9,33.47,47.14,4.99,94.13,mango
14.6,26.7,28.7,31.04,50.37,5.01,91.56,mango
27.6,23.7,29.1,27.32,49.98,5.89,95.59,mango
24.1,18.5,27.5,34.3,54.47,4.84,94.98,mango
14.3,16.2,28.3,28.29,52.1,5.83,91.44,mango
10.2,31.2,26.8,32.46,48.37,5.96,93.16,mango
11.7,19.5,26.9,30.85,51.58,5.16,90.12,mango
20.4,27.1,34.6,32.31,49.71,5.93,99.28,mango
26.6,21.5,27.4,29.36,50.04,6.36,95.03,mango
11.4,29.5,33.1,29.61,51.64,5.57,98.89,mango
26.9,25.5,31.9,34.95,49.96,5.28,97.54,mango
14.4,22.8,33.7,33.52,49.04,5.04,93.56,mango
15.7,18.5,32.4,29.27,49.54,5.46,99.82,mango
17.8,16.6,25.9,32.32,50.99,5.55,94.32,mango
11.1,25.3,30.0,28.35,46.04,4.81,91.01,mango
22.2,18.9,27.5,28.56,54.58,6.64,92.3,mango
16.6,19.2,29.9,27.18,51.71,5.81,98.99,mango
13.3,31.1,32.9,28.14,48.99,4.93,92.55,mango
15.3,26.1,29.1,35.53,46.26,6.93,92.31,mango
25.5,21.8,26.4,34.72,48.09,6.15,95.66,mango
19.4,24.9,32.3,27.79,51.68,6.74,90.58,mango
12.8,29.3,29.4,30.63,46.37,5.77,91.27,mango
19.5,30.3,27.6,31.33,54.92,6.22,98.41,mango
18.3,30.4,25.4,28.11,47.03,5.5,98.46,mango
16.9,28.1,32.1,32.28,48.57,5.94,93.42,mango
11.7,34.9,26.3,27.65,53.79,5.25,96.5,mango
16.6,22.8,27.6,30.09,49.11,6.3,95.12,mango
28.9,15.8,30.0,32.26,54.2,4.62,95.73,mango
27.1,19.8,33.8,27.17,52.32,6.83,96.57,mango
18.8,15.9,34.2,31.23,45.29,6.22,94.82,mango
12.5,19.3,25.6,32.17,51.22,5.76,98.17,mango
27.2,27.3,25.1,33.26,49.18,5.91,96.49,mango
17.0,33.3,26.3,33.04,45.04,6.81,91.13,mango
11.9,21.7,28.7,28.93,50.85,5.61,90.34,mango
16.4,31.2,31.9,33.52,51.98,5.28,91.0,mango
15.4,31.6,34.8,31.44,45.1,4.85,93.22,mango
21.6,16.5,34.4,30.29,54.13,6.45,97.55,mango
22.1,27.5,31.4,32.66,50.54,6.97,97.32,mango
25.5,32.4,27.2,27.75,49.83,5.79,98.29,mango
18.9,26.4,30.3,27.34,51.15,6.57,91.58,mango
21.9,26.9,26.6,28.11,54.8,5.48,92.27,mango
